City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Carupano,VE,80.96,light rain,10.6678,-63.2585,Hotel La dorada
9,Hilo,US,69.8,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
12,Saint-Philippe,RE,82.4,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
13,Georgetown,MY,80.01,few clouds,5.4112,100.3354,Cititel Penang
17,Cap Malheureux,MU,79.0,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
19,Kapaa,US,73.4,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
20,Itigi,TZ,64.06,overcast clouds,-5.7,34.4833,Hostel San Sebastiano
23,San Policarpo,PH,78.93,overcast clouds,12.1791,125.5072,JM Lodge
26,Bredasdorp,ZA,66.2,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
29,Ribeira Grande,PT,62.6,light rain,38.5167,-28.7,Quinta da Meia Eira
31,Caxito,AO,80.6,few clouds,-8.5785,13.6643,
32,Airai,TL,62.42,overcast clouds,-8.9266,125.4092,Juvinal Martin
35,Laem Sing,TH,75.99,clear sky,12.4816,102.0738,Laemsing Whitehouse Resort
38,Vila Velha,BR,82.4,light rain,-20.3297,-40.2925,Hotel Vitória Palace
40,Butaritari,KI,79.12,broken clouds,3.0707,172.7902,Isles Sunset Lodge
44,Victoria,HK,66.0,clear sky,22.2855,114.1577,Mini Hotel Central
46,Cockburn Town,TC,78.01,few clouds,21.4612,-71.1419,Osprey Beach Hotel
47,Bathsheba,BB,84.2,scattered clouds,13.2167,-59.5167,Atlantis Hotel
48,Chuy,UY,82.89,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
50,Barranca,PE,76.96,broken clouds,-10.75,-77.7667,El Olivar Hospedaje
51,Bambous Virieux,MU,80.6,scattered clouds,-20.3428,57.7575,Casa Tia Villa
53,Puerto Ayora,EC,82.4,scattered clouds,-0.7393,-90.3518,Castillo Galapagos
56,Shakiso,ET,61.72,broken clouds,5.75,38.9167,Bealu Girma Hottel
57,Bongandanga,CD,81.3,overcast clouds,1.5,21.05,
58,Charters Towers,AU,68.94,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
61,Souillac,MU,80.6,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
63,Vaini,TO,75.2,moderate rain,-21.2,-175.2,Keleti Beach Resort
64,Busselton,AU,60.01,few clouds,-33.65,115.3333,Observatory Guest House
65,Faanui,PF,80.8,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
71,Kruisfontein,ZA,73.99,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
73,Rikitea,PF,78.44,clear sky,-23.1203,-134.9692,Pension Maro'i
76,Saint-Georges,GD,84.2,few clouds,12.0564,-61.7485,Siesta Hotel
78,Hermanus,ZA,64.99,scattered clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
79,Kaduqli,SD,74.89,broken clouds,11.0167,29.7167,فندق الله جابو
82,Bichena,ET,60.13,scattered clouds,10.45,38.2,yichalal hotel
84,Esperance,AU,64.4,overcast clouds,-33.8667,121.9,Hospitality Esperance
88,Caravelas,BR,79.95,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
89,Gamba,GA,77.56,overcast clouds,-2.65,10.0,
90,Meulaboh,ID,76.73,broken clouds,4.1363,96.1285,Kost Pria
91,Marsh Harbour,BS,73.71,clear sky,26.5412,-77.0636,Abaco Beach Resort
93,Cape Town,ZA,70.0,light rain,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
94,Hirara,JP,67.51,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
95,Port Alfred,ZA,71.01,broken clouds,-33.5906,26.891,The Halyards Hotel
96,Salalah,OM,73.4,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
97,Nilanga,IN,73.69,scattered clouds,18.1,76.7667,जाधव
103,Sabang,ID,81.1,scattered clouds,5.8933,95.3214,Hotel Citra
104,Cidreira,BR,78.87,clear sky,-30.1811,-50.2056,Hotel Castelo
107,Yangjiang,CN,62.17,clear sky,21.85,111.9667,HUALUXE Yangjiang City Center
108,Hoa Binh,VN,64.4,haze,20.8133,105.3383,Hoa Dao Hotel
109,Vila Franca Do Campo,PT,64.0,scattered clouds,37.7167,-25.4333,Pestana Bahia Praia
110,Ancud,CL,68.0,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
113,Arlit,NE,72.68,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
114,Zhuhai,CN,66.0,mist,22.2769,113.5678,珠海粤财假日酒店
