City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Provideniya,RU,64.3833,-173.3,5.76,84,99,3.4,overcast clouds
1,Tasiilaq,GL,65.6145,-37.6368,14.0,44,20,2.3,few clouds
2,Ushuaia,AR,-54.8,-68.3,53.6,62,75,8.32,light rain
3,New Norfolk,AU,-42.7826,147.0587,57.0,69,54,2.42,broken clouds
4,Dikson,RU,73.5069,80.5464,-18.47,90,96,4.63,overcast clouds
5,Nikolskoye,RU,59.7035,30.7861,34.0,93,90,6.71,overcast clouds
6,Carupano,VE,10.6678,-63.2585,80.96,73,77,14.65,light rain
7,Liepaja,LV,56.5419,21.0367,37.4,93,90,14.97,light rain
8,Magadan,RU,59.5667,150.8,-14.13,79,0,7.83,clear sky
9,Hilo,US,19.7297,-155.09,69.8,78,40,9.22,scattered clouds
10,Bluff,NZ,-46.6,168.3333,52.0,89,97,5.01,moderate rain
11,Norman Wells,CA,65.282,-126.8329,-18.4,76,75,4.61,broken clouds
12,Saint-Philippe,RE,-21.3585,55.7679,82.4,74,47,2.3,scattered clouds
13,Georgetown,MY,5.4112,100.3354,80.01,89,20,1.3,few clouds
14,Lumberton,US,34.6182,-79.0086,51.8,23,1,14.97,clear sky
15,Hofn,IS,64.2539,-15.2082,34.23,84,100,28.16,overcast clouds
16,Jamestown,US,42.097,-79.2353,21.99,73,90,23.02,light snow
17,Cap Malheureux,MU,-19.9842,57.6142,79.0,76,8,1.99,clear sky
18,Pevek,RU,69.7008,170.3133,-11.02,90,100,8.77,overcast clouds
19,Kapaa,US,22.0752,-159.319,73.4,88,90,20.71,light rain
20,Itigi,TZ,-5.7,34.4833,64.06,92,85,2.35,overcast clouds
21,Upernavik,GL,72.7868,-56.1549,21.27,80,97,6.91,overcast clouds
22,Markova,UA,48.6758,24.4138,37.4,93,95,4.47,overcast clouds
23,San Policarpo,PH,12.1791,125.5072,78.93,84,88,4.83,overcast clouds
24,Arraial Do Cabo,BR,-22.9661,-42.0278,89.6,69,0,18.41,clear sky
25,Albany,US,42.6001,-73.9662,23.0,49,13,5.01,few clouds
26,Bredasdorp,ZA,-34.5322,20.0403,66.2,77,19,19.57,few clouds
27,Tuktoyaktuk,CA,69.4541,-133.0374,-20.2,76,1,13.8,snow
28,Blacksburg,US,37.2296,-80.4139,37.0,35,1,6.91,clear sky
29,Ribeira Grande,PT,38.5167,-28.7,62.6,94,75,10.36,light rain
30,Karasburg,NA,-28.0167,18.75,86.16,33,92,21.83,overcast clouds
31,Caxito,AO,-8.5785,13.6643,80.6,74,20,8.05,few clouds
32,Airai,TL,-8.9266,125.4092,62.42,100,96,2.13,overcast clouds
33,Kijang,KR,35.2442,129.2139,50.0,62,90,11.5,light rain
34,Erenhot,CN,43.6475,111.9767,13.5,90,6,3.47,clear sky
