City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2021-01-20 20:01:27,-46.6,168.3333,53.01,85,95,11.01
1,Ostrovnoy,RU,2021-01-20 20:01:27,68.0531,39.5131,12.38,92,100,10.76
2,Chalus,IR,2021-01-20 20:01:27,36.655,51.4204,44.6,93,75,26.46
3,Dingle,PH,2021-01-20 20:01:27,10.9995,122.6711,74.91,91,98,2.51
4,Banjar,ID,2021-01-20 20:01:27,-8.19,114.9675,75.2,100,75,9.22
5,Sulangan,PH,2021-01-20 20:01:28,11.1373,123.7228,80.53,83,98,3.65
6,Seuzach,CH,2021-01-20 20:01:28,47.5342,8.7261,28.99,93,0,5.75
7,La Rioja,ES,2021-01-20 20:01:22,42.25,-2.5,48.2,71,90,10.36
8,Punta Arenas,CL,2021-01-20 20:00:11,-53.15,-70.9167,62.6,36,0,24.16
9,Tasiilaq,GL,2021-01-20 20:01:28,65.6145,-37.6368,10.4,72,20,3.44
10,Inuvik,CA,2021-01-20 20:01:28,68.3499,-133.7218,-0.4,78,100,5.75
11,Dunmore Town,BS,2021-01-20 20:01:28,25.5,-76.65,70.56,61,0,15.17
12,Busselton,AU,2021-01-20 20:01:28,-33.65,115.3333,64.0,89,8,1.99
13,Ugoofaaru,MV,2021-01-20 20:01:29,5.6667,73.0,81.77,68,24,4.85
14,Mersing,MY,2021-01-20 20:01:29,2.4312,103.8405,77.0,83,100,6.91
15,Somerset East,ZA,2021-01-20 19:59:08,-32.7217,25.588,63.43,82,62,12.57
16,Upernavik,GL,2021-01-20 20:01:29,72.7868,-56.1549,31.08,96,100,8.52
17,Husavik,IS,2021-01-20 20:01:29,66.0449,-17.3389,30.2,93,90,19.57
18,Poum,NC,2021-01-20 20:01:29,-20.2333,164.0167,79.07,81,98,19.84
19,Romitan,UZ,2021-01-20 20:01:29,39.9343,64.3814,44.6,70,0,4.61
20,Vaini,TO,2021-01-20 20:01:30,-21.2,-175.2,82.4,89,75,10.36
21,Adrar,MR,2021-01-20 20:01:30,20.5022,-10.0711,68.65,21,100,11.18
22,Carnarvon,AU,2021-01-20 20:01:30,-24.8667,113.6333,77.0,88,40,18.41
23,Tura,IN,2021-01-20 20:01:30,25.5198,90.2201,56.57,94,0,3.04
24,Houma,US,2021-01-20 19:59:49,29.5958,-90.7195,71.01,64,90,8.05
25,Sunland Park,US,2021-01-20 20:01:30,31.7965,-106.58,48.0,70,90,4.07
26,Rafai,CF,2021-01-20 20:01:30,4.95,23.9167,74.44,26,60,2.8
27,Albany,US,2021-01-20 20:01:31,42.6001,-73.9662,32.0,54,62,1.01
28,Merauke,ID,2021-01-20 20:01:11,-8.4667,140.3333,78.87,86,100,10.49
29,Kavieng,PG,2021-01-20 20:01:31,-2.5744,150.7967,80.78,78,100,12.24
30,Helong,CN,2021-01-20 20:01:31,42.5397,128.9972,24.31,93,78,6.89
31,Atuona,PF,2021-01-20 20:01:31,-9.8,-139.0333,77.74,77,50,16.71
32,Ushuaia,AR,2021-01-20 20:01:08,-54.8,-68.3,60.8,39,40,3.44
33,Khuzdar,PK,2021-01-20 20:01:31,27.7384,66.6434,54.66,45,0,2.86
34,Port Shepstone,ZA,2021-01-20 20:01:31,-30.7414,30.455,71.65,79,100,5.59
35,Merta,IN,2021-01-20 20:01:32,26.65,74.0333,58.77,34,0,5.5
36,Rikitea,PF,2021-01-20 20:01:32,-23.1203,-134.9692,78.28,75,0,14.43
37,Richards Bay,ZA,2021-01-20 20:01:32,-28.783,32.0377,72.86,85,44,8.19
38,Hermanus,ZA,2021-01-20 20:01:32,-34.4187,19.2345,66.99,77,2,5.01
39,Tessalit,ML,2021-01-20 20:01:32,20.1986,1.0114,64.11,23,20,10.85
40,Kapaa,US,2021-01-20 20:01:32,22.0752,-159.319,73.4,94,75,16.11
41,Placido De Castro,BR,2021-01-20 20:01:32,-10.3353,-67.1856,87.58,52,78,3.04
42,Airai,TL,2021-01-20 20:01:32,-8.9266,125.4092,61.47,100,79,2.15
43,New Norfolk,AU,2021-01-20 20:01:33,-42.7826,147.0587,48.0,76,100,1.77
44,Lebu,CL,2021-01-20 20:01:33,-37.6167,-73.65,63.91,69,0,21.07
45,Zeliezovce,SK,2021-01-20 20:01:33,48.0508,18.6542,39.0,87,90,7.0
46,Ribeira Grande,PT,2021-01-20 20:01:33,38.5167,-28.7,62.6,94,75,16.11
47,Faanui,PF,2021-01-20 20:01:33,-16.4833,-151.75,80.28,77,0,15.23
48,Kodiak,US,2021-01-20 20:01:33,57.79,-152.4072,39.2,87,40,8.05
49,Northport,US,2021-01-20 20:01:33,33.229,-87.5772,55.99,44,1,5.75
50,Jamestown,US,2021-01-20 20:01:33,42.097,-79.2353,21.99,73,90,17.27
51,Provideniya,RU,2021-01-20 20:01:34,64.3833,-173.3,-0.4,71,40,33.55
52,Pevek,RU,2021-01-20 20:01:34,69.7008,170.3133,-29.43,82,91,1.48
53,Hualmay,PE,2021-01-20 20:01:34,-11.0964,-77.6139,75.97,69,32,11.01
54,Warmbad,NA,2021-01-20 20:01:34,-28.45,18.7333,87.87,39,9,10.69
55,Mabai,CN,2021-01-20 20:01:34,23.0128,104.4508,45.3,100,100,2.93
56,Sao Miguel Do Araguaia,BR,2021-01-20 20:01:34,-13.275,-50.1628,87.01,67,96,4.12
57,Keti Bandar,PK,2021-01-20 20:01:35,24.1447,67.4497,67.77,89,0,8.57
58,Narsaq,GL,2021-01-20 19:57:32,60.9167,-46.05,39.2,24,75,18.41
59,Kruisfontein,ZA,2021-01-20 20:01:35,-34.0033,24.7314,68.0,78,25,3.0
60,Cedeno,CO,2021-01-20 20:01:35,7.0464,-72.1634,85.68,40,89,2.8
61,Contamana,PE,2021-01-20 20:01:35,-7.3333,-75.0167,77.52,94,94,2.95
62,Cape Town,ZA,2021-01-20 20:00:06,-33.9258,18.4232,66.99,77,0,16.11
63,Georgetown,MY,2021-01-20 20:00:15,5.4112,100.3354,77.0,94,20,2.3
64,Puerto Ayora,EC,2021-01-20 19:59:37,-0.7393,-90.3518,84.2,70,40,18.41
65,Saskylakh,RU,2021-01-20 20:01:35,71.9167,114.0833,-34.64,81,100,4.05
66,Qaanaaq,GL,2021-01-20 20:01:36,77.484,-69.3632,28.99,86,100,13.38
